,rockets name,organization name,date,lat,lng,S/F,reason for failure
0,Pegasus XL | Fast Auroral Snapshot Explorer (FAST),Orbital Sciences Corporation,"August 21, 1996 09:47:00 UTC",34.732778,-120.568056,S,Na
1,Pegasus XL | High Energy Transient Explorer (HETE) & Satelite de Aplicaciones Cientificas-B (SAC-B),Orbital Sciences Corporation,"November 4, 1996 17:08:00 UTC",37.938611,-75.457222,F,"Battery failure in the Pegasus XL rocket third stage, satellites did not separate from third stage."
2,Pegasus XL | Broadband Advanced Technologies Satellite (BATSAT/Teledesic T1) & Student Nitric Oxide Explorer (SNOE),Orbital Sciences Corporation,"February 26, 1998 07:07:00 UTC",34.732778,-120.568056,S,Na
3,Pegasus XL | Transition Region and Coronal Explorer (TRACE),Orbital Sciences Corporation,"April 2, 1998 02:42:00 UTC",34.732778,-120.568056,S,Na
4,Pegasus XL | Wide Field Infrared Explorer (WIRE),Orbital Sciences Corporation,"March 5, 1999 02:56:00 UTC",34.732778,-120.568056,S,Na
5,Pegasus Hybrid | High Energy Transient Explorer 2 (HETE-2),Orbital Sciences Corporation,"October 9, 2000 05:38:00 UTC",8.716667,167.733333,S,Na
6,Pegasus XL | Galaxy Evolution Explorer (GALEX),Orbital Sciences Corporation,"April 28, 2003 12:00:00 UTC",28.455556,-80.527778,S,Na
7,Pegasus XL | Interstellar Boundary Explorer (IBEX),Orbital Sciences Corporation,"October 19, 2008 17:47:23 UTC",8.716667,167.733333,S,Na
8,Pegasus XL | Ionospheric Connection Explorer (ICON),Northrop Grumman Innovation Systems,"November 19, 2018 08:05:00 UTC",28.455556,-80.527778,S,Na
9,Ariane 5 ECA | JUICE (JUpiter ICy moons Explorer),Arianespace,"January 1, 2022 00:00:00 UTC",5.239,-52.768,S,Na
10,"Electron  | Still Testing (Dove Pioneer, 2 x Lemur-2)",Rocket Lab Ltd,"January 21, 2018 05:30:00 UTC",-39.262833,177.864469,S,Na
11,Electron  | Lunar Scout,Rocket Lab Ltd,"January 1, 2019 00:00:00 UTC",-39.262833,177.864469,S,Na
12,Falcon 9 Block 5 | Spaceflight GTO-1 & SpaceIL Lunar Lander,SpaceX,"January 1, 2019 00:00:00 UTC",28.56194122,-80.57735736,S,Na
13,Pegasus XL | Transition Region and Coronal Explorer (TRACE),Orbital Sciences Corporation,"April 2, 1998 02:42:00 UTC",34.732778,-120.568056,S,Na
14,Falcon 9 Block 4 | TESS (Transiting Exoplanet Survey Satellite),SpaceX,"April 18, 2018 22:52:01 UTC",28.56194122,-80.57735736,S,Na
15,Proton-M / Briz-M Enhanced | Echostar XIV,International Launch Services,"March 20, 2010 18:26:57 UTC",46.039984,63.032093,S,Na
16,Proton-M / Briz-M Enhanced | EchoStar XV,International Launch Services,"July 10, 2010 18:40:00 UTC",46.039984,63.032093,S,Na
