lsp_country,Decade,rocket,family,rock_agency,location,lat,lon,result,failreason,date,lsp_name,year,rating
CHN,1970's,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
CHN,1980's,,,,,,,,,,,,
CHN,1990's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHN,2000's,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
CHN,2010's,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0
FRA,1970's,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
FRA,1980's,,,,,,,,,,,,
FRA,1990's,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
FRA,2000's,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
FRA,2010's,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
"FRA, RUS",1970's,,,,,,,,,,,,
"FRA, RUS",1980's,,,,,,,,,,,,
"FRA, RUS",1990's,,,,,,,,,,,,
"FRA, RUS",2000's,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"FRA, RUS",2010's,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
IND,1970's,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
IND,1980's,,,,,,,,,,,,
IND,1990's,,,,,,,,,,,,
IND,2000's,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
IND,2010's,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
IRN,1970's,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRN,1980's,,,,,,,,,,,,
IRN,1990's,,,,,,,,,,,,
IRN,2000's,,,,,,,,,,,,
IRN,2010's,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
ISR,1970's,,,,,,,,,,,,
ISR,1980's,,,,,,,,,,,,
ISR,1990's,,,,,,,,,,,,
ISR,2000's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ISR,2010's,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
JPN,1970's,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
JPN,1980's,,,,,,,,,,,,
JPN,1990's,,,,,,,,,,,,
JPN,2000's,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
JPN,2010's,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
KOR,1970's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KOR,1980's,,,,,,,,,,,,
KOR,1990's,,,,,,,,,,,,
KOR,2000's,,,,,,,,,,,,
KOR,2010's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NA,1970's,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NA,1980's,,,,,,,,,,,,
NA,1990's,,,,,,,,,,,,
NA,2000's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NA,2010's,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NZL,1970's,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NZL,1980's,,,,,,,,,,,,
NZL,1990's,,,,,,,,,,,,
NZL,2000's,,,,,,,,,,,,
NZL,2010's,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PRK,1970's,,,,,,,,,,,,
PRK,1980's,,,,,,,,,,,,
PRK,1990's,,,,,,,,,,,,
PRK,2000's,,,,,,,,,,,,
PRK,2010's,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
RUS,1970's,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
RUS,1980's,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
RUS,1990's,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
RUS,2000's,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
RUS,2010's,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0
USA,1970's,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
USA,1980's,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
USA,1990's,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
USA,2000's,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
USA,2010's,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
